,open,high,low,close,volume
2016-10-24,68.0,70.79,67.99,70.71,8495946.0
2016-10-25,70.59,72.3,70.25,71.87,9936532.0
2016-10-26,71.27,72.95,71.2,72.16,8344781.0
2016-10-27,72.71,72.85,70.385,70.68,9716622.0
2016-10-28,71.02,72.1,70.43,70.56,7271374.0
2016-10-31,70.79,71.625,70.75,71.16,6309718.0
2016-11-01,71.42,71.81,68.29,69.05,11830629.0
2016-11-02,69.58,70.52,68.6355,68.76,7396231.0
2016-11-03,69.08,69.14,66.64,67.96,7741593.0
2016-11-04,67.51,68.7305,66.575,67.57,8219490.0
2016-11-07,69.55,71.72,69.5,71.27,12189524.0
2016-11-08,71.54,71.77,70.5,71.16,10747107.0
2016-11-09,69.23,70.9,68.72,69.96,11413254.0
2016-11-10,71.49,71.5,66.76,67.77,21732039.0
2016-11-11,79.51,88.77,78.5,87.97,54383633.0
2016-11-14,88.09,88.19,83.62,83.64,33719913.0
2016-11-15,84.29,87.45,83.93,86.19,15652258.0
2016-11-16,87.34,92.555,86.3452,91.63,24699644.0
2016-11-17,92.31,94.7923,90.65,92.39,20824744.0
2016-11-18,94.2248,94.33,91.8,93.36,14401499.0
2016-11-21,94.09,94.35,92.4,92.98,10910868.0
2016-11-22,93.3,93.7396,92.38,93.65,8259232.0
2016-11-23,93.72,95.2499,92.77,93.97,11080857.0
2016-11-25,93.47,95.1,93.41,94.16,4889078.0
2016-11-28,93.87,94.74,93.6,94.11,6968370.0
2016-11-29,94.0,94.44,92.53,93.25,11114187.0
2016-11-30,92.2,94.16,92.1,92.2,11012545.0
2016-12-01,92.1,92.17,84.77,87.64,25888074.0
2016-12-02,86.86,88.8,85.12,88.45,11957300.0
2016-12-05,89.99,92.61,89.0,91.88,15057125.0
2016-12-06,92.21,93.73,91.57,93.39,12469875.0
2016-12-07,92.84,95.3,92.1,95.07,12020093.0
2016-12-08,95.19,96.62,93.0531,93.48,9538602.0
2016-12-09,94.2,94.27,90.71,91.82,9557799.0
2016-12-12,89.85,89.95,87.54,89.59,15033300.0
2016-12-13,90.09,92.29,90.05,91.17,9694874.0
2016-12-14,92.54,97.11,91.57,96.45,24599538.0
2016-12-15,96.9,99.94,96.6,98.71,18663653.0
2016-12-16,99.83,100.7,97.726,100.41,27238183.0
2016-12-19,99.7,102.4499,99.0,101.63,18616431.0
2016-12-20,104.58,106.13,104.12,105.17,21201433.0
2016-12-21,105.64,105.95,103.71,105.83,14403361.0
2016-12-22,106.82,108.87,106.53,107.11,17965259.0
2016-12-23,106.38,109.835,106.27,109.78,16192331.0
2016-12-27,112.06,117.36,111.22,117.32,29856842.0
2016-12-28,119.6,119.93,108.69,109.25,57394116.0
2016-12-29,104.9,111.49,102.8,111.43,54384182.0
2016-12-30,111.35,111.92,106.3,106.74,30323259.0
2017-01-03,104.4,106.37,99.38,102.01,37549876.0
2017-01-04,103.4,105.5,101.53,104.39,29980506.0
2017-01-05,104.53,105.82,101.05,101.74,24607382.0
2017-01-06,102.85,104.25,101.2,103.1,20571416.0
2017-01-09,103.5,108.0,103.5,107.28,22906225.0
2017-01-10,107.81,109.19,105.63,106.47,22022969.0
2017-01-11,106.0,106.2,104.15,105.16,13141588.0
2017-01-12,104.23,104.7,101.62,103.44,15640414.0
2017-01-13,103.6,105.0,103.06,103.43,11445543.0
2017-01-17,103.0,103.2,100.57,101.11,14515259.0
2017-01-18,100.24,103.23,99.11,102.95,16360615.0
2017-01-19,103.07,106.46,102.98,105.16,16121778.0
2017-01-20,106.08,106.8,103.12,104.01,12300557.0
2017-01-23,103.8,105.9,103.7,105.09,9247639.0
2017-01-24,105.5,107.58,104.9,107.33,10701271.0
2017-01-25,109.05,109.3,106.3346,107.79,13084499.0
2017-01-26,107.9,109.95,106.7,109.65,11469970.0
2017-01-27,109.93,111.89,108.85,111.77,11799929.0
2017-01-30,110.92,111.01,107.9106,110.02,12400084.0
2017-01-31,108.95,110.05,108.2,109.18,9068865.0
2017-02-01,110.58,114.12,109.86,113.95,14750082.0
2017-02-02,113.3,115.74,112.06,115.39,12081040.0
2017-02-03,115.45,115.9,113.9,114.38,9318633.0
2017-02-06,114.0,117.3261,114.0,117.31,12669205.0
2017-02-07,118.7,120.92,117.9,119.13,18655567.0
2017-02-08,118.4,119.31,116.38,118.61,11239487.0
2017-02-09,118.86,119.06,115.6,116.38,21064178.0
2017-02-10,119.93,120.7,112.6,113.62,41277341.0
2017-02-13,113.39,113.98,108.2,108.38,29518071.0
2017-02-14,107.99,110.15,106.29,108.78,21265787.0
2017-02-15,108.9,109.8,107.76,109.0,9325512.0
2017-02-16,109.39,109.44,105.66,107.25,16179386.0
2017-02-17,106.7,107.41,104.79,107.23,14093465.0
2017-02-21,108.23,111.23,108.22,111.07,13798783.0
2017-02-22,111.42,111.8,109.99,110.76,10844256.0
2017-02-23,105.5,106.39,99.68,100.49,39822213.0
2017-02-24,97.07,102.0,95.7,101.46,25747597.0
2017-02-27,102.2,105.02,101.56,104.41,17885019.0
2017-02-28,104.8,105.2,100.775,101.48,15633968.0
2017-03-01,103.79,104.37,101.11,102.79,12620139.0
2017-03-02,102.27,102.84,98.89,99.0,18858278.0
2017-03-03,98.57,98.77,96.22,98.43,21636424.0
2017-03-06,96.96,98.1,95.17,97.67,22089169.0
2017-03-07,97.67,99.53,97.15,98.74,15085007.0
2017-03-08,100.7,101.3,98.47,98.56,15967822.0
2017-03-09,97.91,99.45,97.4,98.54,11951471.0
2017-03-10,99.61,100.09,98.38,99.12,12493513.0
2017-03-13,99.54,102.25,99.51,101.85,19353402.0
2017-03-14,102.37,102.75,100.47,101.78,13050415.0
2017-03-15,102.25,102.99,100.32,102.55,15375852.0
2017-03-16,102.98,103.83,102.41,103.81,13077495.0
2017-03-17,104.52,106.12,103.81,106.07,27992169.0
2017-03-20,106.78,109.61,106.13,109.45,18714152.0
2017-03-21,108.75,109.96,105.585,105.91,22837103.0
2017-03-22,105.46,108.26,105.3,108.07,15419106.0
2017-03-23,107.75,108.5572,106.7,107.09,13348542.0
2017-03-24,108.97,109.29,106.42,107.47,10987546.0
2017-03-27,105.58,108.405,103.575,108.25,12666100.0
2017-03-28,108.3,108.89,107.27,107.69,10811109.0
2017-03-29,107.99,108.49,107.25,107.34,8749791.0
2017-03-30,107.63,110.0,107.4,109.4,13138349.0
2017-03-31,109.01,109.89,108.4021,108.93,11020165.0
2017-04-03,108.95,109.65,107.42,108.38,11130813.0
2017-04-04,103.4,104.42,100.34,100.78,31782004.0
2017-04-05,100.015,102.37,99.5,100.03,18676232.0
2017-04-06,100.24,101.25,98.41,100.76,15878004.0
2017-04-07,101.02,101.73,99.72,100.33,10628889.0
2017-04-10,100.36,100.63,97.6,97.77,18908264.0
2017-04-11,96.55,98.8999,96.35,98.12,15453747.0
2017-04-12,98.12,98.7,97.1,97.31,10352296.0
2017-04-13,96.33,97.21,95.49,95.49,12672345.0
2017-04-17,96.01,99.24,95.8,99.23,12432305.0
2017-04-18,98.65,99.54,97.6,99.29,9252944.0
2017-04-19,100.0,100.98,99.41,99.68,9520659.0
2017-04-20,100.27,101.4464,99.41,101.26,10100358.0
2017-04-21,100.84,101.79,100.36,101.68,8547390.0
2017-04-24,102.96,103.48,102.11,102.95,9286617.0
2017-04-25,103.54,105.33,102.67,104.74,9670204.0
2017-04-26,105.29,105.39,103.94,104.02,8017754.0
2017-04-27,104.32,105.98,103.59,105.64,7887565.0
2017-04-28,105.36,105.64,104.07,104.3,8603278.0
2017-05-01,104.74,106.85,104.45,106.64,7558886.0
2017-05-02,105.55,105.5955,102.56,103.48,15545050.0
2017-05-03,103.2,104.64,102.6,104.25,8355157.0
2017-05-04,104.5,104.95,103.53,103.85,5211879.0
2017-05-05,103.38,104.15,102.75,103.86,5684394.0
2017-05-08,104.34,104.4,102.31,102.77,9040663.0
2017-05-09,103.0,104.93,102.66,102.94,13796401.0
2017-05-10,114.29,121.82,114.02,121.29,53227434.0
2017-05-11,120.05,130.43,119.91,126.5,48167998.0
2017-05-12,126.63,129.6,125.78,127.89,23993187.0
2017-05-15,129.56,134.41,129.38,134.31,26919505.0
2017-05-16,136.38,137.44,133.3635,136.81,27909305.0
2017-05-17,134.1,134.86,127.55,127.72,31444976.0
2017-05-18,129.5,133.43,127.05,133.07,28661989.0
2017-05-19,137.025,138.22,135.22,136.0,25222948.0
2017-05-22,137.77,139.48,137.33,138.9,20786477.0
2017-05-23,139.7,139.79,135.71,137.03,16911578.0
2017-05-24,140.96,141.07,138.08,138.57,20376569.0
2017-05-25,140.0,140.03,136.44,138.26,15064741.0
2017-05-26,137.93,145.28,137.11,141.84,19300323.0
2017-05-30,143.7,146.2911,143.05,144.87,24580778.0
2017-05-31,146.69,147.0,142.05,144.35,21643194.0
2017-06-01,144.99,145.03,142.52,144.36,12462061.0
2017-06-02,144.24,145.3,143.4,143.64,12140804.0
2017-06-05,142.98,148.53,142.51,148.01,20311623.0
2017-06-06,147.82,149.69,146.8,147.34,18743334.0
2017-06-07,148.33,149.88,147.7,149.12,15057318.0
2017-06-08,153.46,160.0,151.79,159.94,28475455.0
